;Filter 1;Filter 2
filter glass type;UG5;BG39
Reflection factor  P;0.910;0.910
Reference thickness;1.00;1.00
Filter thickness   d;3.000;3.000
?[nm];ti 1;ti 2
200;1.00E-15;1.00E-54
201;1.00E-15;1.00E-54
202;1.00E-15;1.00E-54
203;1.00E-15;1.00E-54
204;1.00E-15;1.00E-54
205;1.00E-15;1.00E-54
206;1.00E-15;1.00E-54
207;1.00E-15;1.00E-54
208;1.00E-15;1.00E-54
209;1.00E-15;1.00E-54
210;1.11E-14;1.00E-54
211;7.80E-13;1.00E-54
212;3.12E-11;1.00E-54
213;5.45E-10;1.00E-54
214;8.00E-09;1.00E-54
215;9.23E-08;1.00E-54
216;1.30E-06;1.00E-54
217;9.13E-06;1.00E-54
218;3.76E-05;1.00E-54
219;1.09E-04;1.00E-54
220;3.29E-04;1.00E-54
221;8.49E-04;1.00E-54
222;2.11E-03;1.00E-54
223;4.49E-03;1.00E-54
224;8.44E-03;1.00E-54
225;1.45E-02;1.00E-54
226;2.31E-02;1.00E-54
227;3.46E-02;1.00E-54
228;4.98E-02;1.00E-54
229;6.84E-02;1.00E-54
230;9.11E-02;1.00E-54
231;1.15E-01;1.00E-54
232;1.41E-01;1.00E-54
233;1.70E-01;1.00E-54
234;1.99E-01;1.00E-54
235;2.29E-01;1.00E-54
236;2.59E-01;1.00E-54
237;2.90E-01;1.00E-54
238;3.17E-01;1.00E-54
239;3.43E-01;1.00E-54
240;3.70E-01;1.00E-54
241;3.97E-01;1.00E-54
242;4.20E-01;1.00E-54
243;4.40E-01;1.00E-54
244;4.62E-01;1.00E-54
245;4.82E-01;1.00E-54
246;5.01E-01;1.00E-54
247;5.18E-01;1.00E-54
248;5.35E-01;1.00E-54
249;5.50E-01;1.00E-54
250;5.64E-01;1.00E-54
251;5.76E-01;1.00E-54
252;5.91E-01;1.00E-54
253;6.02E-01;1.00E-54
254;6.15E-01;1.00E-54
255;6.25E-01;1.00E-54
256;6.36E-01;1.00E-54
257;6.47E-01;1.00E-54
258;6.59E-01;1.00E-54
259;6.68E-01;1.00E-54
260;6.79E-01;1.00E-54
261;6.88E-01;1.00E-54
262;6.96E-01;1.00E-54
263;7.05E-01;1.00E-54
264;7.13E-01;1.00E-54
265;7.22E-01;1.00E-54
266;7.29E-01;1.00E-54
267;7.36E-01;1.00E-54
268;7.44E-01;1.00E-54
269;7.51E-01;1.00E-54
270;7.59E-01;1.00E-54
271;7.66E-01;1.00E-54
272;7.75E-01;1.00E-54
273;7.84E-01;1.00E-54
274;7.91E-01;1.00E-54
275;7.99E-01;1.00E-54
276;8.06E-01;1.00E-54
277;8.12E-01;1.00E-54
278;8.17E-01;1.00E-54
279;8.23E-01;1.00E-54
280;8.28E-01;1.00E-54
281;8.32E-01;1.00E-54
282;8.36E-01;1.00E-54
283;8.40E-01;1.00E-54
284;8.43E-01;1.00E-54
285;8.47E-01;1.00E-54
286;8.50E-01;1.00E-54
287;8.53E-01;1.00E-54
288;8.57E-01;1.00E-54
289;8.60E-01;1.00E-54
290;8.63E-01;1.00E-54
291;8.66E-01;5.11E-54
292;8.68E-01;1.76E-50
293;8.70E-01;2.36E-47
294;8.72E-01;1.52E-44
295;8.74E-01;1.07E-41
296;8.76E-01;4.85E-39
297;8.78E-01;2.15E-36
298;8.81E-01;6.90E-34
299;8.83E-01;2.29E-31
300;8.85E-01;6.12E-29
