2020-09-24 nBSQ in PMMA grosse Substrate INT
Wavelength (nm)	No1 5pct nBSQ	No2 1pct nBSQ	No3 0.5pct nBSQ
191.286987	0.008276	0.009766	0.010356	
192.884644	0.005851	0.005802	0.005790	
194.482346	0.004595	0.004260	0.004681	
196.080109	0.002940	0.003317	0.003316	
197.677933	0.002771	0.002689	0.002739	
199.275803	0.002131	0.002406	0.002341	
200.873734	0.002007	0.002026	0.002074	
202.471710	0.001684	0.001940	0.001876	
204.069748	0.001647	0.001903	0.001990	
205.667816	0.001589	0.001750	0.001591	
207.265961	0.001608	0.001354	0.001663	
208.864166	0.001411	0.001612	0.001553	
210.462372	0.001469	0.001642	0.001569	
212.060669	0.001472	0.001546	0.001589	
213.659012	0.001429	0.001529	0.001471	
215.257401	0.001415	0.001479	0.001569	
216.855835	0.001432	0.001502	0.001352	
218.454315	0.001448	0.001459	0.001435	
220.052856	0.001451	0.001605	0.001547	
221.651443	0.001304	0.001495	0.001369	
223.250046	0.001260	0.001312	0.001345	
224.848724	0.001178	0.001155	0.001280	
226.447433	0.001195	0.001346	0.001215	
228.046219	0.001146	0.001146	0.001208	
229.645020	0.001015	0.001151	0.001225	
231.243866	0.001095	0.001173	0.001154	
232.842773	0.001112	0.001048	0.001135	
234.441696	0.001087	0.001199	0.001129	
236.040695	0.000971	0.001059	0.001037	
237.639725	0.000975	0.001093	0.001139	
239.238800	0.000951	0.001096	0.001194	
240.837891	0.000923	0.001089	0.000954	
242.437042	0.001044	0.001142	0.001131	
244.036224	0.000988	0.001174	0.001203	
245.635468	0.001106	0.001133	0.001109	
247.234741	0.001258	0.001220	0.001257	
248.834061	0.001192	0.001237	0.001378	
250.433395	0.001243	0.001288	0.001343	
252.032791	0.001244	0.001398	0.001429	
253.632233	0.001558	0.001402	0.001369	
255.231689	0.001457	0.001578	0.001589	
256.831177	0.001634	0.001592	0.001597	
258.430725	0.001632	0.001708	0.001670	
260.030304	0.001779	0.001802	0.001822	
261.629913	0.001771	0.001909	0.001879	
263.229553	0.001978	0.001965	0.001869	
264.829254	0.001826	0.002136	0.002031	
266.428955	0.002106	0.002171	0.002122	
268.028687	0.001951	0.002124	0.002013	
269.628479	0.002245	0.002453	0.002398	
271.228302	0.002555	0.002311	0.002403	
272.828156	0.002508	0.002611	0.002665	
274.428040	0.002594	0.002643	0.002812	
276.027924	0.002769	0.002845	0.002919	
277.627869	0.003031	0.003060	0.002816	
279.227844	0.002908	0.003040	0.003202	
280.827820	0.003202	0.003059	0.002846	
282.427887	0.003194	0.003238	0.003120	
284.027924	0.003591	0.003218	0.003730	
285.628021	0.003569	0.003541	0.003586	
287.228119	0.004237	0.003935	0.003747	
288.828278	0.004804	0.004668	0.004441	
290.428436	0.006087	0.006348	0.006022	
292.028625	0.008131	0.008130	0.007660	
293.628876	0.010871	0.010992	0.010762	
295.229126	0.014876	0.014834	0.014577	
296.829407	0.020800	0.020542	0.020359	
298.429688	0.029345	0.029452	0.028642	
300.030029	0.039826	0.039652	0.039023	
301.630371	0.053611	0.053137	0.052494	
303.230743	0.071098	0.070436	0.069437	
304.831116	0.092670	0.091020	0.089932	
306.431580	0.116934	0.115657	0.114477	
308.032013	0.144693	0.143478	0.141747	
309.632446	0.175715	0.173808	0.171447	
311.232941	0.209435	0.207050	0.205520	
312.833435	0.245486	0.243594	0.240759	
314.433960	0.282148	0.280823	0.278118	
316.034485	0.319333	0.317771	0.314067	
317.635071	0.356456	0.354936	0.351444	
319.235657	0.393434	0.391914	0.388791	
320.836243	0.429445	0.428744	0.423540	
322.436859	0.464425	0.464886	0.459714	
324.037506	0.498173	0.497859	0.493902	
325.638153	0.520867	0.519903	0.518036	
327.238831	0.555669	0.557896	0.552806	
328.839508	0.581328	0.583266	0.576844	
330.440216	0.605546	0.606081	0.601398	
332.040924	0.628107	0.630199	0.625675	
333.641663	0.648942	0.652196	0.645407	
335.242371	0.667528	0.669783	0.665134	
336.843140	0.683721	0.688270	0.681358	
338.443909	0.700293	0.703477	0.697121	
340.044708	0.713726	0.717547	0.709489	
341.645477	0.725270	0.728749	0.722977	
343.246277	0.736417	0.739298	0.732920	
344.847107	0.746122	0.748284	0.742798	
346.447937	0.754056	0.756966	0.749566	
348.048767	0.761083	0.764121	0.755831	
349.649628	0.767852	0.769783	0.762463	
351.250488	0.772465	0.773978	0.767598	
352.851349	0.778054	0.779209	0.771994	
354.452209	0.780262	0.782491	0.774388	
356.053101	0.783993	0.786439	0.778571	
357.653992	0.786903	0.789824	0.782247	
359.254913	0.790454	0.792137	0.785929	
360.855804	0.792857	0.796589	0.788745	
362.456726	0.795633	0.799023	0.790788	
364.057648	0.799332	0.801686	0.793181	
365.658539	0.801979	0.803323	0.795735	
367.259460	0.807229	0.806445	0.797618	
368.860413	0.809309	0.808051	0.799158	
370.461365	0.811894	0.809142	0.800665	
372.062286	0.813747	0.811552	0.800980	
373.663239	0.815390	0.812151	0.802052	
375.264160	0.816090	0.811539	0.801550	
376.865112	0.816165	0.811621	0.801594	
378.466064	0.815113	0.810474	0.800306	
380.066986	0.815309	0.811315	0.801188	
381.667938	0.814310	0.810920	0.800668	
383.268890	0.814236	0.811135	0.801321	
384.869843	0.816043	0.812923	0.801826	
386.470795	0.816098	0.813482	0.803752	
388.071716	0.816810	0.815131	0.804721	
389.672668	0.818056	0.815751	0.806993	
391.273621	0.818860	0.817581	0.807108	
392.874573	0.819395	0.818986	0.808662	
394.475494	0.820290	0.819521	0.809747	
396.076416	0.822153	0.820995	0.810640	
397.677338	0.823238	0.821693	0.811619	
399.278259	0.823491	0.822843	0.813306	
400.879211	0.824870	0.823232	0.813104	
402.480103	0.825584	0.823592	0.813024	
404.080994	0.826449	0.824793	0.813976	
405.681915	0.827465	0.824995	0.814260	
407.282776	0.828234	0.826132	0.814596	
408.883667	0.828656	0.826214	0.814768	
410.484558	0.828306	0.826239	0.815786	
412.085388	0.828800	0.826385	0.815093	
413.686279	0.829370	0.826414	0.816044	
415.287109	0.829174	0.827611	0.816149	
416.888000	0.829656	0.826888	0.816419	
418.488831	0.829248	0.826951	0.817481	
420.089600	0.830152	0.827536	0.816474	
421.690430	0.830923	0.828875	0.816995	
423.291199	0.830328	0.829259	0.818141	
424.891998	0.831087	0.828671	0.817864	
426.492767	0.830982	0.829882	0.818139	
428.093567	0.832274	0.829527	0.818731	
429.694275	0.832527	0.830324	0.818433	
431.295013	0.833471	0.830039	0.819164	
432.895752	0.833713	0.830076	0.818923	
434.496429	0.833221	0.830963	0.819060	
436.097107	0.833963	0.830894	0.819872	
437.697815	0.834480	0.831737	0.819752	
439.298431	0.834432	0.831958	0.820605	
440.899078	0.835557	0.832112	0.820433	
442.499695	0.835562	0.832469	0.821330	
444.100281	0.836143	0.832936	0.821271	
445.700867	0.837104	0.833531	0.821357	
447.301453	0.837729	0.834040	0.822422	
448.902008	0.838767	0.834576	0.822545	
