NoP PMMA 40mgmL
Wavelength (nm)	Intensity
191.457733	0.011020	
193.053986	0.007302	
194.650345	0.005126	
196.246765	0.004224	
197.843262	0.003683	
199.439835	0.003217	
201.036469	0.002553	
202.633194	0.002180	
204.229980	0.002335	
205.826859	0.002216	
207.423782	0.002084	
209.020782	0.002052	
210.617874	0.001915	
212.215012	0.001886	
213.812225	0.002185	
215.409500	0.001921	
217.006866	0.001991	
218.604279	0.001999	
220.201752	0.001927	
221.799316	0.001708	
223.396927	0.001721	
224.994598	0.001547	
226.592361	0.001668	
228.190155	0.001646	
229.788040	0.001631	
231.385986	0.001507	
232.983978	0.001495	
234.582062	0.001433	
236.180176	0.001360	
237.778351	0.001354	
239.376617	0.001308	
240.974899	0.001357	
242.573273	0.001341	
244.171677	0.001406	
245.770172	0.001655	
247.368698	0.001551	
248.967316	0.001690	
250.565964	0.001883	
252.164673	0.001858	
253.763428	0.002045	
255.362228	0.001948	
256.961121	0.002020	
258.560028	0.002099	
260.158997	0.002387	
261.758026	0.002338	
263.357117	0.002603	
264.956238	0.002588	
266.555450	0.002708	
268.154663	0.002932	
269.753967	0.003015	
271.353271	0.003115	
272.952667	0.003232	
274.552094	0.003518	
276.151550	0.003480	
277.751099	0.003593	
279.350647	0.003857	
280.950256	0.003791	
282.549927	0.004108	
284.149628	0.004180	
285.749390	0.004251	
287.349182	0.004641	
288.949005	0.004592	
290.548889	0.005466	
292.148804	0.007351	
293.748749	0.010782	
295.348755	0.015112	
296.948792	0.021510	
298.548889	0.030644	
300.148987	0.041498	
301.749146	0.055886	
303.349335	0.073605	
304.949554	0.095524	
306.549835	0.120716	
308.150146	0.150997	
309.750458	0.183385	
311.350861	0.218049	
312.951233	0.255303	
314.551697	0.293122	
316.152161	0.331906	
317.752686	0.371504	
319.353210	0.411260	
320.953796	0.447780	
322.554382	0.485725	
324.155029	0.528568	
325.755676	0.559150	
327.356384	0.580794	
328.957092	0.607701	
330.557861	0.636043	
332.158630	0.661332	
333.759430	0.683202	
335.360260	0.702990	
336.961121	0.722071	
338.562012	0.737636	
340.162903	0.750537	
341.763855	0.764011	
343.364807	0.774612	
344.965759	0.783147	
346.566772	0.792266	
348.167786	0.798800	
349.768860	0.804552	
351.369904	0.811107	
352.971008	0.813922	
354.572083	0.819577	
356.173218	0.822858	
357.774353	0.827523	
359.375519	0.829617	
360.976685	0.832882	
362.577881	0.835468	
364.179108	0.837583	
365.780334	0.839364	
367.381561	0.841367	
368.982849	0.842951	
370.584106	0.844376	
372.185364	0.843476	
373.786682	0.845098	
375.388000	0.844665	
376.989319	0.844658	
378.590637	0.843183	
380.191986	0.843335	
381.793365	0.842945	
383.394714	0.843531	
384.996094	0.845056	
386.597473	0.846836	
388.198853	0.847461	
389.800232	0.848819	
391.401672	0.850049	
393.003082	0.851364	
394.604492	0.852165	
396.205902	0.853171	
397.807312	0.853289	
399.408752	0.854256	
401.010193	0.854772	
402.611633	0.854675	
404.213074	0.855737	
405.814514	0.854859	
407.415955	0.855067	
409.017395	0.856461	
410.618835	0.855401	
412.220276	0.856228	
413.821716	0.855126	
415.423157	0.855423	
417.024597	0.855837	
418.626038	0.855946	
420.227448	0.856739	
421.828918	0.855843	
423.430328	0.856987	
425.031738	0.857078	
426.633148	0.856506	
428.234558	0.856546	
429.835938	0.856729	
431.437347	0.856605	
433.038727	0.857029	
434.640076	0.857297	
436.241455	0.857930	
437.842834	0.858031	
439.444183	0.858120	
441.045502	0.858013	
442.646820	0.858724	
444.248138	0.858796	
445.849457	0.858993	
447.450745	0.859422	
449.052002	0.859811	
450.653259	0.859942	
452.254547	0.859991	
453.855774	0.860091	
455.456970	0.860929	
457.058197	0.861264	
458.659363	0.860705	
460.260559	0.861501	
461.861664	0.861581	
463.462830	0.861506	
465.063904	0.861913	
466.665039	0.862431	
468.266113	0.862361	
469.867126	0.861874	
471.468170	0.862154	
473.069183	0.862567	
474.670166	0.862902	
476.271149	0.863466	
477.872070	0.863269	
