2021-07-05 SQIB in PMMA 40mgmL medium spin speed dried at 60C
Wavelength (nm)	No1 10pct	No2 4pct	No3 2pct	No4 1pct	No5 0.5pct
191.457733	0.009483	0.010943	0.011340	0.010959	0.011412	
193.053986	0.006818	0.006184	0.006300	0.007065	0.007362	
194.650345	0.004326	0.004641	0.004075	0.004509	0.005101	
196.246765	0.003674	0.003712	0.003561	0.003484	0.004022	
197.843262	0.002797	0.003228	0.003108	0.002909	0.003095	
199.439835	0.002580	0.002829	0.002728	0.002823	0.002833	
201.036469	0.002146	0.002399	0.002438	0.002283	0.002453	
202.633194	0.002145	0.002141	0.002054	0.002177	0.002439	
204.229980	0.001946	0.002089	0.002097	0.002022	0.002168	
205.826859	0.002103	0.001905	0.002025	0.002064	0.002001	
207.423782	0.001733	0.001777	0.001828	0.001739	0.001963	
209.020782	0.001854	0.001894	0.001877	0.001872	0.001936	
210.617874	0.001826	0.001879	0.001985	0.001924	0.001965	
212.215012	0.001988	0.001792	0.001725	0.001825	0.001943	
213.812225	0.001589	0.001855	0.001882	0.001789	0.001989	
215.409500	0.001613	0.001821	0.002005	0.001731	0.001858	
217.006866	0.001835	0.001783	0.001960	0.001843	0.001967	
218.604279	0.001831	0.001964	0.001856	0.001845	0.001959	
220.201752	0.001443	0.001842	0.001725	0.001771	0.001802	
221.799316	0.001621	0.001857	0.001738	0.001603	0.001786	
223.396927	0.001614	0.001660	0.001581	0.001773	0.001655	
224.994598	0.001490	0.001645	0.001692	0.001686	0.001679	
226.592361	0.001530	0.001571	0.001539	0.001540	0.001622	
228.190155	0.001431	0.001520	0.001462	0.001521	0.001547	
229.788040	0.001455	0.001426	0.001436	0.001440	0.001471	
231.385986	0.001350	0.001309	0.001362	0.001393	0.001358	
232.983978	0.001295	0.001460	0.001394	0.001370	0.001405	
234.582062	0.001229	0.001399	0.001363	0.001278	0.001378	
236.180176	0.001333	0.001403	0.001299	0.001245	0.001315	
237.778351	0.001222	0.001330	0.001308	0.001420	0.001403	
239.376617	0.001326	0.001355	0.001335	0.001361	0.001353	
240.974899	0.001286	0.001333	0.001280	0.001298	0.001431	
242.573273	0.001256	0.001412	0.001311	0.001362	0.001393	
244.171677	0.001346	0.001353	0.001338	0.001400	0.001372	
245.770172	0.001414	0.001362	0.001505	0.001355	0.001485	
247.368698	0.001546	0.001470	0.001497	0.001528	0.001600	
248.967316	0.001510	0.001611	0.001478	0.001502	0.001764	
250.565964	0.001549	0.001699	0.001742	0.001607	0.001760	
252.164673	0.001688	0.001733	0.001773	0.001694	0.001685	
