2021-07-05 SQIB 5mg/mL no annealing high = medium spin speed
Wavelength (nm)	No8 SQIB neat	No9 SQIB neat
191.457733	0.009118	0.010295	
193.053986	0.006188	0.006438	
194.650345	0.004306	0.004257	
196.246765	0.003357	0.003182	
197.843262	0.002674	0.002559	
199.439835	0.002383	0.002305	
201.036469	0.002003	0.001934	
202.633194	0.001985	0.001821	
204.229980	0.001754	0.001682	
205.826859	0.001554	0.001665	
207.423782	0.001721	0.001587	
209.020782	0.001769	0.001545	
210.617874	0.001654	0.001641	
212.215012	0.001689	0.001439	
213.812225	0.001619	0.001331	
215.409500	0.001552	0.001425	
217.006866	0.001584	0.001626	
218.604279	0.001684	0.001630	
220.201752	0.001481	0.001534	
221.799316	0.001516	0.001501	
223.396927	0.001504	0.001506	
224.994598	0.001486	0.001259	
226.592361	0.001301	0.001303	
228.190155	0.001345	0.001311	
229.788040	0.001290	0.001283	
231.385986	0.001249	0.001145	
232.983978	0.001330	0.001139	
234.582062	0.001211	0.001150	
236.180176	0.001250	0.001107	
237.778351	0.001194	0.001145	
239.376617	0.001204	0.001199	
240.974899	0.001180	0.001167	
242.573273	0.001284	0.001197	
244.171677	0.001251	0.001201	
245.770172	0.001301	0.001351	
247.368698	0.001411	0.001309	
248.967316	0.001385	0.001404	
250.565964	0.001618	0.001436	
252.164673	0.001786	0.001515	
253.763428	0.001619	0.001544	
255.362228	0.001708	0.001834	
256.961121	0.001744	0.001783	
258.560028	0.001979	0.001870	
260.158997	0.002039	0.002052	
261.758026	0.002238	0.002074	
263.357117	0.002310	0.001959	
264.956238	0.002372	0.002326	
266.555450	0.002387	0.002447	
268.154663	0.002519	0.002594	
269.753967	0.002853	0.002509	
271.353271	0.002777	0.002885	
272.952667	0.003064	0.002813	
274.552094	0.003121	0.003035	
276.151550	0.003136	0.003166	
277.751099	0.003262	0.003328	
279.350647	0.003606	0.003442	
280.950256	0.003484	0.003479	
282.549927	0.003844	0.003717	
284.149628	0.003895	0.003826	
285.749390	0.004253	0.004192	
287.349182	0.004628	0.004320	
288.949005	0.005344	0.004724	
290.548889	0.005637	0.005297	
292.148804	0.007647	0.007226	
293.748749	0.010358	0.009875	
295.348755	0.015207	0.015001	
296.948792	0.021870	0.021433	
298.548889	0.031019	0.030425	
300.148987	0.042765	0.042279	
301.749146	0.057106	0.056600	
303.349335	0.075578	0.075042	
304.949554	0.098409	0.097533	
306.549835	0.123872	0.122885	
308.150146	0.155068	0.153762	
309.750458	0.187928	0.186396	
311.350861	0.223225	0.221231	
312.951233	0.260806	0.258496	
314.551697	0.299347	0.296784	
316.152161	0.338565	0.335207	
317.752686	0.377435	0.373642	
319.353210	0.417482	0.412988	
320.953796	0.455642	0.450228	
322.554382	0.494033	0.487624	
324.155029	0.531448	0.524003	
325.755676	0.559316	0.551785	
327.356384	0.585061	0.577783	
328.957092	0.614548	0.605853	
330.557861	0.640941	0.632125	
332.158630	0.665101	0.655963	
333.759430	0.687719	0.677580	
335.360260	0.705879	0.695897	
336.961121	0.724464	0.712708	
338.562012	0.739146	0.728186	
340.162903	0.753112	0.741023	
341.763855	0.765386	0.752310	
343.364807	0.775615	0.764123	
344.965759	0.785111	0.772936	
346.566772	0.793855	0.782362	
348.167786	0.801619	0.789736	
349.768860	0.807047	0.795947	
351.369904	0.812706	0.801890	
352.971008	0.818157	0.807333	
354.572083	0.822038	0.811411	
356.173218	0.825327	0.814652	
357.774353	0.828647	0.817610	
359.375519	0.830551	0.818995	
360.976685	0.833172	0.820724	
362.577881	0.834280	0.821510	
364.179108	0.837071	0.822842	
365.780334	0.838564	0.825051	
367.381561	0.841574	0.829018	
368.982849	0.843642	0.832383	
370.584106	0.846873	0.836026	
372.185364	0.849392	0.839997	
373.786682	0.851977	0.841845	
