2021-07-05 SQIB in 40mg/mL PMMA medium spin speed annealed at 180C
Wavelength (nm)	No6 10pct 180C	No7 4pct 180C
191.457733	0.009833	0.009946	
193.053986	0.006177	0.006079	
194.650345	0.003795	0.004162	
196.246765	0.003196	0.003757	
197.843262	0.002851	0.002867	
199.439835	0.002449	0.002532	
201.036469	0.002232	0.002047	
202.633194	0.002065	0.002136	
204.229980	0.001840	0.002038	
205.826859	0.001906	0.001867	
207.423782	0.001701	0.001799	
209.020782	0.001809	0.001739	
210.617874	0.001828	0.001670	
212.215012	0.001738	0.001732	
213.812225	0.001681	0.001642	
215.409500	0.001692	0.001715	
217.006866	0.001752	0.001743	
218.604279	0.001710	0.001771	
220.201752	0.001601	0.001576	
221.799316	0.001631	0.001601	
223.396927	0.001471	0.001645	
224.994598	0.001428	0.001452	
226.592361	0.001364	0.001500	
228.190155	0.001393	0.001436	
229.788040	0.001354	0.001428	
231.385986	0.001272	0.001238	
232.983978	0.001315	0.001319	
234.582062	0.001227	0.001354	
236.180176	0.001212	0.001134	
237.778351	0.001342	0.001290	
239.376617	0.001387	0.001352	
240.974899	0.001279	0.001237	
242.573273	0.001252	0.001307	
244.171677	0.001295	0.001376	
245.770172	0.001306	0.001448	
247.368698	0.001398	0.001464	
248.967316	0.001446	0.001534	
250.565964	0.001547	0.001624	
252.164673	0.001664	0.001678	
253.763428	0.001647	0.001772	
255.362228	0.001727	0.001888	
256.961121	0.002005	0.001964	
258.560028	0.001971	0.002030	
260.158997	0.002109	0.002258	
261.758026	0.002321	0.002388	
263.357117	0.002408	0.002383	
264.956238	0.002600	0.002480	
266.555450	0.002484	0.002661	
268.154663	0.002466	0.002886	
269.753967	0.002829	0.002859	
271.353271	0.003058	0.003156	
272.952667	0.002904	0.003246	
274.552094	0.003027	0.003372	
276.151550	0.003371	0.003357	
277.751099	0.003583	0.003638	
279.350647	0.003605	0.003696	
280.950256	0.003855	0.003929	
282.549927	0.003790	0.003989	
284.149628	0.003923	0.004078	
285.749390	0.004102	0.004257	
287.349182	0.004402	0.004766	
288.949005	0.004706	0.005070	
290.548889	0.005032	0.005243	
292.148804	0.007095	0.007000	
293.748749	0.009725	0.010138	
295.348755	0.014409	0.015023	
296.948792	0.020505	0.021079	
298.548889	0.029417	0.029946	
300.148987	0.040170	0.041021	
301.749146	0.053578	0.055059	
303.349335	0.071098	0.072700	
304.949554	0.092435	0.094724	
306.549835	0.116696	0.119362	
308.150146	0.144969	0.148496	
309.750458	0.175494	0.180229	
311.350861	0.209567	0.214708	
312.951233	0.244645	0.250188	
314.551697	0.280741	0.287076	
316.152161	0.317582	0.323884	
317.752686	0.354555	0.363044	
319.353210	0.390874	0.400483	
320.953796	0.426945	0.437517	
322.554382	0.463010	0.473990	
324.155029	0.501113	0.513567	
325.755676	0.526506	0.541511	
327.356384	0.551514	0.565390	
328.957092	0.576980	0.590626	
330.557861	0.601430	0.616080	
332.158630	0.624109	0.640721	
333.759430	0.645486	0.662816	
335.360260	0.663731	0.680763	
336.961121	0.680104	0.698467	
338.562012	0.695060	0.713703	
340.162903	0.707917	0.727245	
341.763855	0.720303	0.739759	
343.364807	0.731376	0.750236	
344.965759	0.741402	0.759530	
346.566772	0.748510	0.768925	
348.167786	0.757261	0.775054	
349.768860	0.763162	0.781705	
351.369904	0.768513	0.787203	
352.971008	0.772895	0.791109	
354.572083	0.776025	0.795495	
356.173218	0.779274	0.798264	
357.774353	0.781938	0.801205	
359.375519	0.783566	0.804758	
360.976685	0.785486	0.806817	
362.577881	0.789550	0.808746	
364.179108	0.791963	0.812427	
365.780334	0.795011	0.815190	
367.381561	0.798514	0.818454	
368.982849	0.801880	0.821106	
370.584106	0.804927	0.823334	
372.185364	0.806419	0.825559	
373.786682	0.809210	0.826356	
375.388000	0.809646	0.826833	
376.989319	0.809707	0.826350	
378.590637	0.809297	0.826567	
380.191986	0.809689	0.826424	
381.793365	0.809759	0.826074	
383.394714	0.810880	0.826478	
384.996094	0.811970	0.827833	
386.597473	0.811873	0.827547	
388.198853	0.812909	0.829256	
389.800232	0.813406	0.830409	
391.401672	0.814462	0.830880	
393.003082	0.815643	0.832311	
394.604492	0.816388	0.833487	
396.205902	0.817026	0.834372	
397.807312	0.818097	0.835190	
399.408752	0.820051	0.836097	
401.010193	0.821852	0.836846	
402.611633	0.822362	0.838103	
404.213074	0.823699	0.839979	
405.814514	0.825447	0.840146	
407.415955	0.825770	0.840294	
409.017395	0.826396	0.841072	
410.618835	0.827730	0.841065	
412.220276	0.828526	0.841551	
413.821716	0.828607	0.841078	
415.423157	0.828708	0.841930	
417.024597	0.829482	0.841684	
418.626038	0.830117	0.842249	
420.227448	0.830371	0.841732	
421.828918	0.830275	0.841209	
423.430328	0.831159	0.841960	
425.031738	0.831284	0.842491	
426.633148	0.831669	0.842560	
428.234558	0.832186	0.842743	
429.835938	0.832355	0.842989	
431.437347	0.833749	0.843774	
433.038727	0.834610	0.843967	
434.640076	0.835042	0.843780	
436.241455	0.835273	0.844394	
437.842834	0.835587	0.844993	
439.444183	0.836250	0.844787	
441.045502	0.836863	0.844701	
442.646820	0.837013	0.845247	
444.248138	0.837351	0.845216	
445.849457	0.837679	0.845897	
447.450745	0.838207	0.846109	
449.052002	0.838432	0.845984	
450.653259	0.839309	0.846282	
452.254547	0.839545	0.847156	
453.855774	0.839974	0.846796	
455.456970	0.840489	0.847239	
457.058197	0.840336	0.847538	
458.659363	0.841201	0.847615	
460.260559	0.841041	0.847749	
461.861664	0.841314	0.847902	
463.462830	0.841556	0.848446	
465.063904	0.841512	0.848532	
466.665039	0.842072	0.848307	
468.266113	0.841692	0.848758	
469.867126	0.842693	0.849581	
471.468170	0.842705	0.848710	
473.069183	0.842518	0.849465	
474.670166	0.842562	0.849335	
476.271149	0.842793	0.849809	
477.872070	0.842596	0.850057	
479.472992	0.842380	0.849868	
481.073883	0.842264	0.849820	
482.674744	0.842948	0.850108	
484.275574	0.842317	0.850076	
485.876404	0.843112	0.850540	
487.477203	0.842886	0.850512	
489.077942	0.841948	0.850331	
490.678650	0.842201	0.850504	
492.279388	0.841986	0.850852	
493.880035	0.841862	0.850870	
495.480713	0.841850	0.850733	
497.081299	0.840801	0.850605	
498.681885	0.840422	0.850556	
500.282410	0.840392	0.850317	
501.882965	0.840044	0.850565	
503.483459	0.839495	0.850305	
505.083893	0.838540	0.849647	
506.684326	0.837938	0.849788	
508.284729	0.837395	0.849165	
509.885071	0.836371	0.849194	
511.485352	0.835175	0.848963	
513.085632	0.834589	0.848614	
514.685913	0.833681	0.848462	
516.286072	0.832908	0.848012	
517.886292	0.831163	0.847263	
519.486450	0.830829	0.847064	
521.086487	0.828978	0.846150	
522.686584	0.827867	0.845462	
524.286560	0.826436	0.845209	
525.886536	0.824883	0.844596	
527.486450	0.822829	0.843283	
529.086365	0.821427	0.842043	
530.686218	0.819453	0.841176	
532.286011	0.817123	0.840033	
533.885803	0.815091	0.839230	
535.485474	0.812683	0.837481	
537.085144	0.810435	0.836074	
538.684814	0.807422	0.834510	
540.284363	0.804749	0.832434	
541.883911	0.801148	0.830935	
543.483398	0.798024	0.828819	
545.082886	0.795319	0.826908	
546.682251	0.791278	0.824842	
548.281616	0.787530	0.822667	
549.880920	0.783455	0.820227	
551.480164	0.779635	0.818261	
553.079346	0.775541	0.815609	
554.678528	0.770795	0.813381	
556.277649	0.766749	0.810864	
557.876648	0.761925	0.808485	
559.475647	0.757350	0.805760	
561.074585	0.751867	0.803320	
562.673462	0.746289	0.800433	
564.272339	0.741713	0.797460	
565.871094	0.735465	0.794448	
567.469849	0.729749	0.790714	
569.068481	0.723433	0.786843	
570.667114	0.716250	0.783028	
572.265686	0.708581	0.778582	
573.864136	0.700541	0.774418	
575.462646	0.692028	0.769427	
577.060974	0.682608	0.764156	
578.659302	0.672622	0.758186	
580.257629	0.661860	0.751331	
581.855835	0.650024	0.744420	
583.453979	0.637988	0.737444	
585.052063	0.624438	0.728718	
586.650024	0.610241	0.720653	
588.248047	0.595797	0.711381	
589.845947	0.580192	0.701967	
591.443726	0.564245	0.692382	
593.041565	0.547561	0.681769	
594.639282	0.530891	0.671577	
596.236877	0.514025	0.661048	
597.834473	0.497706	0.651201	
599.432007	0.481773	0.641305	
601.029419	0.466053	0.631802	
602.626770	0.451053	0.622511	
604.224060	0.436987	0.613681	
605.821350	0.423812	0.605599	
607.418518	0.411992	0.597544	
609.015564	0.400733	0.589869	
610.612671	0.390616	0.582822	
612.209595	0.381428	0.575481	
613.806519	0.372709	0.568553	
615.403259	0.364395	0.560408	
617.000061	0.355650	0.551507	
618.596741	0.345962	0.541019	
620.193298	0.335488	0.528841	
621.789856	0.323917	0.514598	
623.386292	0.310286	0.498430	
624.982666	0.295149	0.479994	
626.578979	0.279008	0.459673	
628.175171	0.262161	0.437360	
629.771362	0.244706	0.413918	
631.367371	0.227348	0.390001	
632.963379	0.210567	0.365404	
634.559265	0.194302	0.341392	
636.155151	0.179364	0.317956	
637.750854	0.165382	0.295436	
639.346558	0.152570	0.274836	
640.942139	0.141201	0.255396	
642.537659	0.131524	0.238391	
644.133057	0.123071	0.223168	
645.728394	0.115658	0.210364	
647.323669	0.109695	0.199795	
648.918823	0.104741	0.191681	
650.513977	0.101066	0.185492	
652.109009	0.098507	0.181889	
653.703918	0.097075	0.180685	
655.298706	0.097004	0.182350	
656.893433	0.098342	0.186532	
658.488159	0.100172	0.191956	
660.082703	0.103106	0.199499	
661.677185	0.108268	0.211673	
663.271606	0.115414	0.228107	
664.865906	0.124062	0.247397	
666.460144	0.134450	0.269677	
668.054321	0.147114	0.295385	
669.648315	0.162173	0.324621	
671.242310	0.179654	0.356636	
672.836121	0.200204	0.391405	
674.429871	0.223378	0.428158	
676.023560	0.249456	0.466088	
677.617126	0.278425	0.504565	
679.210571	0.310083	0.542835	
680.804016	0.343907	0.579898	
682.397339	0.379829	0.615371	
683.990479	0.416441	0.647495	
685.583618	0.454093	0.677586	
687.176636	0.491492	0.704640	
688.769470	0.527306	0.728035	
690.362305	0.562289	0.748522	
691.955017	0.594817	0.766671	
693.547607	0.624579	0.781308	
695.140137	0.652353	0.793840	
696.732544	0.676600	0.805186	
698.324829	0.698294	0.814001	
699.917053	0.716688	0.821457	
701.509155	0.732962	0.827293	
703.101196	0.746701	0.832786	
704.693054	0.758354	0.837197	
706.284851	0.768821	0.841495	
707.876587	0.777701	0.844703	
709.468140	0.785205	0.847361	
711.059631	0.791578	0.849507	
712.651001	0.797412	0.851395	
714.242249	0.802099	0.853253	
715.833374	0.806137	0.854790	
717.424438	0.809961	0.856041	
719.015442	0.813748	0.857770	
720.606262	0.816947	0.858955	
722.196960	0.818823	0.859289	
723.787598	0.821607	0.860698	
725.378052	0.822981	0.861037	
726.968445	0.825277	0.861589	
728.558716	0.827057	0.862831	
730.148926	0.829107	0.863086	
731.738953	0.830856	0.863471	
733.328918	0.832753	0.864669	
734.918762	0.833529	0.864769	
736.508423	0.835138	0.864861	
738.098022	0.835828	0.865257	
739.687561	0.837488	0.865612	
741.276917	0.837768	0.866136	
742.866150	0.838490	0.865721	
744.455322	0.839627	0.866348	
746.044312	0.840217	0.866342	
747.633179	0.840582	0.866586	
749.221985	0.841813	0.867408	
750.810669	0.842029	0.866550	
752.399170	0.843095	0.867367	
753.987610	0.843500	0.867210	
755.575867	0.843550	0.867064	
757.164063	0.844550	0.868098	
758.752136	0.845155	0.867735	
760.340027	0.845689	0.867258	
761.927856	0.845396	0.867294	
763.515503	0.846204	0.867653	
765.103149	0.846887	0.867870	
766.690552	0.846787	0.867668	
768.277832	0.846958	0.867935	
769.865051	0.847744	0.867571	
771.452026	0.847757	0.867580	
773.039001	0.847791	0.868445	
774.625793	0.848205	0.867577	
776.212463	0.848402	0.867600	
777.799011	0.849127	0.867424	
779.385376	0.848791	0.867348	
780.971680	0.848895	0.867704	
782.557861	0.849079	0.867652	
784.143860	0.849302	0.867557	
785.729736	0.848652	0.867428	
787.315491	0.848597	0.867719	
788.901123	0.849210	0.866931	
790.486633	0.849727	0.867097	
792.071960	0.849716	0.867160	
793.657166	0.849817	0.866868	
795.242249	0.849812	0.867052	
796.827209	0.849732	0.866596	
798.411987	0.849704	0.866842	
799.996704	0.850073	0.866777	
801.581177	0.850321	0.866912	
803.165649	0.850867	0.866933	
804.749878	0.850695	0.866344	
806.333984	0.850401	0.866644	
807.917969	0.849632	0.866670	
809.501831	0.850679	0.866768	
811.085510	0.850045	0.866282	
812.669067	0.850379	0.866857	
814.252502	0.849477	0.866652	
815.835754	0.849788	0.866200	
817.418884	0.850485	0.865837	
819.001831	0.850539	0.865579	
820.584656	0.850575	0.865432	
822.167358	0.851239	0.865285	
823.750000	0.850911	0.866153	
825.332336	0.850248	0.866430	
826.914673	0.850563	0.865709	
828.496704	0.850945	0.866233	
830.078735	0.851539	0.866656	
831.660522	0.850836	0.865786	
833.242188	0.850412	0.865693	
