SQIB isotropic	n	k	e1	e2												
300.14899	1.50768	0.02354	2.27255	0.07099
301.74915	1.51481	0.02713	2.29393	0.08219
303.34934	1.51894	0.02729	2.30644	0.0829
304.94955	1.51957	0.02591	2.30841	0.07873
306.54983	1.51688	0.0247	2.30033	0.07494
308.15015	1.51181	0.02528	2.28492	0.07645
309.75046	1.50631	0.02831	2.26817	0.0853
311.35086	1.50173	0.03298	2.2541	0.09906
312.95123	1.49857	0.03838	2.24424	0.11503
314.5517	1.49691	0.04365	2.23883	0.13067
316.15216	1.49639	0.04799	2.23687	0.14363
317.75269	1.49615	0.05112	2.23587	0.15296
319.35321	1.49567	0.05336	2.23418	0.15962
320.9538	1.49473	0.05508	2.23119	0.16466
322.55438	1.4933	0.05661	2.22674	0.16906
324.15503	1.49148	0.05826	2.22111	0.17378
325.75568	1.48957	0.06021	2.21518	0.17937
327.35638	1.48782	0.06236	2.20971	0.18556
328.95709	1.48633	0.06459	2.20499	0.192
330.55786	1.48513	0.06677	2.20115	0.19833
332.15863	1.48422	0.0688	2.19818	0.20422
333.75943	1.48355	0.07057	2.19593	0.20938
335.36026	1.48302	0.07204	2.19415	0.21368
336.96112	1.48257	0.07321	2.19265	0.21707
338.56201	1.48214	0.07406	2.19127	0.21953
340.1629	1.48169	0.07458	2.18984	0.22102
341.76385	1.48113	0.07479	2.18814	0.22153
343.36481	1.48035	0.07467	2.18585	0.22108
344.96576	1.47924	0.07436	2.18262	0.21999
346.56677	1.47778	0.07398	2.17836	0.21866
348.16779	1.47598	0.07368	2.1731	0.2175
349.76886	1.47391	0.07357	2.167	0.21687
351.3699	1.47167	0.07376	2.16036	0.21711
352.97101	1.46944	0.07435	2.15374	0.2185
354.57208	1.46748	0.07522	2.14782	0.22078
356.17322	1.46585	0.07622	2.14291	0.22346
357.77435	1.4646	0.07718	2.13908	0.22608
359.37552	1.46368	0.07795	2.13628	0.2282
360.97668	1.46303	0.0784	2.13432	0.22939
362.57788	1.46252	0.07838	2.1328	0.22927
364.17911	1.46189	0.07788	2.13107	0.22771
365.78033	1.46101	0.07701	2.12861	0.22502
367.38156	1.45978	0.07589	2.12519	0.22156
368.98285	1.45818	0.07463	2.12071	0.21765
370.58411	1.45619	0.07335	2.11512	0.21362
372.18536	1.45386	0.07214	2.1085	0.20975
373.78668	1.45121	0.07109	2.10097	0.20634
375.388	1.44836	0.07026	2.09281	0.20354
376.98932	1.44536	0.06966	2.08422	0.20136
378.59064	1.44226	0.06927	2.07533	0.19981
380.19199	1.43911	0.0691	2.06627	0.19889
381.79336	1.43594	0.06916	2.05714	0.19861
383.39471	1.43279	0.06943	2.04806	0.19896
384.99609	1.42971	0.06992	2.03918	0.19994
386.59747	1.42678	0.07062	2.03071	0.20151
388.19885	1.42405	0.07144	2.02281	0.20348
389.80023	1.42154	0.07233	2.01556	0.20563
391.40167	1.41926	0.07319	2.00894	0.20776
393.00308	1.41718	0.07398	2.00293	0.20969
394.60449	1.41528	0.07462	1.99744	0.21122
396.2059	1.41349	0.07506	1.99234	0.21219
397.80731	1.41176	0.07524	1.98741	0.21243
399.40875	1.40995	0.07515	1.98232	0.21191
401.01019	1.40798	0.07486	1.97681	0.21081
402.61163	1.40582	0.07444	1.97078	0.20929
404.21307	1.40343	0.07394	1.96414	0.20754
405.81451	1.40082	0.07343	1.9569	0.20572
407.41596	1.39799	0.07296	1.94905	0.20399
409.0174	1.39496	0.07258	1.94066	0.20249
410.61883	1.39178	0.07234	1.93182	0.20138
412.22028	1.38851	0.07228	1.92272	0.20073
413.82172	1.3852	0.07238	1.91355	0.20052
415.42316	1.3819	0.07261	1.90439	0.20067
417.0246	1.37863	0.07293	1.89531	0.20108
418.62604	1.3754	0.07333	1.88634	0.20171
420.22745	1.3722	0.07377	1.8775	0.20247
421.82892	1.36905	0.07425	1.86878	0.2033
423.43033	1.36593	0.07472	1.86017	0.20413
425.03174	1.36283	0.07518	1.85165	0.20491
426.63315	1.35972	0.07561	1.84313	0.2056
428.23456	1.3566	0.076	1.83457	0.20621
429.83594	1.35343	0.07638	1.82594	0.20674
431.43735	1.35022	0.07673	1.8172	0.20722
433.03873	1.34695	0.07708	1.80834	0.20765
434.64008	1.34363	0.07742	1.79935	0.20805
436.24145	1.34024	0.07776	1.79021	0.20843
437.84283	1.3368	0.0781	1.78092	0.2088
439.44418	1.33328	0.07845	1.77148	0.20918
441.0455	1.32969	0.0788	1.76186	0.20957
442.64682	1.32603	0.07918	1.75207	0.20999
444.24814	1.32229	0.07958	1.74211	0.21047
445.84946	1.31847	0.08002	1.73197	0.21101
447.45074	1.31459	0.0805	1.72166	0.21164
449.052	1.31064	0.08102	1.7112	0.21237
450.65326	1.30662	0.0816	1.7006	0.21323
452.25455	1.30255	0.08223	1.68989	0.21422
453.85577	1.29844	0.08293	1.67908	0.21537
455.45697	1.29431	0.08371	1.66823	0.21668
457.0582	1.29017	0.08455	1.65739	0.21817
458.65936	1.28607	0.08545	1.64667	0.21979
460.26056	1.28202	0.08637	1.63613	0.22146
461.86166	1.27804	0.08727	1.62578	0.22306
463.46283	1.27411	0.0881	1.61561	0.22449
465.0639	1.27023	0.08883	1.60559	0.22567
466.66504	1.26636	0.08943	1.59568	0.22651
468.26611	1.26249	0.08986	1.58582	0.22691
469.86713	1.25859	0.0901	1.57592	0.22679
471.46817	1.2546	0.0901	1.5659	0.22609
473.06918	1.25048	0.08985	1.55563	0.22471
474.67017	1.24616	0.08931	1.54493	0.22259
476.27115	1.24153	0.0885	1.53356	0.21976
477.87207	1.23652	0.08748	1.52134	0.21635
